filename,non_vulnerable_present,non_vulnerable_nearby,vulnerable_present,vulnerable_nearby,crowded_critical
000000.txt,0,0,1,1,0
000001.txt,1,0,1,0,0
000002.txt,1,0,0,0,0
000003.txt,1,1,0,0,0
000004.txt,1,0,0,0,0
000005.txt,0,0,1,0,0
000006.txt,1,0,0,0,0
000007.txt,1,0,1,0,0
000008.txt,1,1,0,0,1
000009.txt,1,0,0,0,0
000010.txt,1,1,1,0,0
000011.txt,1,0,1,1,0
000012.txt,1,0,0,0,0
000013.txt,1,0,0,0,0
000014.txt,0,0,0,0,0
000015.txt,0,0,1,1,0
000016.txt,1,1,0,0,0
000017.txt,1,0,0,0,0
000018.txt,1,0,0,0,0
000019.txt,1,1,0,0,0
000020.txt,1,0,0,0,0
000021.txt,1,1,0,0,0
000022.txt,1,0,0,0,0
000023.txt,1,0,1,0,0
000024.txt,1,0,0,0,0
000025.txt,1,1,1,0,0
000026.txt,1,0,0,0,0
000027.txt,1,1,0,0,0
000028.txt,0,0,1,1,0
000029.txt,1,0,0,0,0
000030.txt,1,0,0,0,0
000031.txt,1,1,0,0,1
000032.txt,1,1,0,0,1
000033.txt,1,1,0,0,0
000034.txt,1,1,0,0,0
000035.txt,1,0,1,0,0
000036.txt,1,1,0,0,0
000037.txt,1,0,0,0,0
000038.txt,1,1,0,0,1
000039.txt,1,1,0,0,0
000040.txt,1,0,1,0,0
000041.txt,1,0,0,0,0
000042.txt,1,0,0,0,0
000043.txt,0,0,1,1,0
000044.txt,1,1,0,0,0
000045.txt,1,0,0,0,0
000046.txt,1,1,0,0,0
000047.txt,1,1,0,0,0
000048.txt,0,0,1,0,0
000049.txt,1,1,1,1,1
000050.txt,1,1,0,0,0
000051.txt,1,0,1,0,0
000052.txt,1,1,0,0,0
000053.txt,1,1,0,0,0
000054.txt,0,0,1,1,0
000055.txt,1,0,0,0,0
000056.txt,0,0,0,0,0
000057.txt,1,0,0,0,0
000058.txt,0,0,1,1,0
000059.txt,1,0,0,0,0
000060.txt,1,0,1,0,0
000061.txt,1,0,0,0,0
000062.txt,1,0,1,0,0
000063.txt,1,1,1,1,0
000064.txt,1,1,0,0,0
000065.txt,1,0,1,1,1
000066.txt,1,0,0,0,0
000067.txt,1,1,0,0,0
000068.txt,1,1,1,1,1
000069.txt,1,0,0,0,0
000070.txt,0,0,1,1,0
000071.txt,1,0,0,0,0
000072.txt,1,1,0,0,0
000073.txt,0,0,1,1,1
000074.txt,0,0,1,1,1
000075.txt,1,0,0,0,0
000076.txt,0,0,1,1,1
000077.txt,1,0,0,0,0
000078.txt,1,1,0,0,0
000079.txt,1,1,0,0,0
000080.txt,1,0,0,0,0
000081.txt,1,0,0,0,0
000082.txt,0,0,0,0,0
000083.txt,1,1,0,0,0
000084.txt,1,0,0,0,0
000085.txt,1,0,1,1,0
000086.txt,1,0,0,0,0
000087.txt,1,0,1,0,0
000088.txt,1,0,0,0,0
000089.txt,1,1,0,0,1
000090.txt,1,0,0,0,0
000091.txt,1,0,1,0,0
000092.txt,1,0,0,0,0
000093.txt,1,1,0,0,0
000094.txt,1,0,0,0,0
000095.txt,1,1,0,0,0
000096.txt,1,1,0,0,1
000097.txt,0,0,0,0,0
000098.txt,1,1,0,0,0
000099.txt,1,1,0,0,1
000100.txt,1,0,1,1,0
000101.txt,1,0,0,0,0
000102.txt,1,0,0,0,0
000103.txt,0,0,1,1,0
000104.txt,1,0,0,0,0
000105.txt,0,0,1,1,0
000106.txt,1,1,0,0,0
000107.txt,1,1,0,0,0
000108.txt,1,1,1,1,1
000109.txt,0,0,1,1,0
000110.txt,1,1,0,0,0
000111.txt,1,1,0,0,0
000112.txt,1,1,0,0,1
000113.txt,1,1,0,0,0
000114.txt,1,0,1,1,0
000115.txt,0,0,0,0,0
000116.txt,1,1,0,0,0
000117.txt,1,1,0,0,1
000118.txt,1,0,1,1,1
000119.txt,1,0,1,1,0
000120.txt,1,1,0,0,1
000121.txt,1,0,0,0,0
000122.txt,1,0,1,0,0
000123.txt,0,0,0,0,0
000124.txt,1,0,0,0,0
000125.txt,1,1,0,0,0
000126.txt,1,0,0,0,0
000127.txt,1,1,1,0,0
000128.txt,1,0,0,0,0
000129.txt,1,1,0,0,0
000130.txt,0,0,1,1,0
000131.txt,1,0,0,0,0
000132.txt,1,0,0,0,0
000133.txt,0,0,0,0,0
000134.txt,1,1,1,0,0
000135.txt,1,0,0,0,0
000136.txt,1,1,0,0,0
000137.txt,1,0,0,0,0
000138.txt,1,0,0,0,0
000139.txt,1,0,0,0,0
000140.txt,1,0,0,0,0
000141.txt,1,0,0,0,0
000142.txt,1,1,1,1,1
000143.txt,1,0,0,0,0
000144.txt,1,1,1,0,0
000145.txt,1,0,1,1,1
000146.txt,1,1,1,0,1
000147.txt,1,1,1,0,0
000148.txt,1,0,0,0,0
000149.txt,1,1,1,0,0
000150.txt,1,0,1,0,0
000151.txt,1,0,1,0,0
000152.txt,1,1,0,0,1
000153.txt,1,0,1,0,0
000154.txt,1,1,1,1,0
000155.txt,1,0,0,0,0
000156.txt,0,0,1,1,0
000157.txt,1,1,1,1,1
000158.txt,1,0,0,0,0
000159.txt,1,1,0,0,0
000160.txt,1,0,0,0,0
000161.txt,1,1,0,0,0
000162.txt,1,0,1,0,0
